Point_ID,Statistic_ID,Name,Duration,Month,Value
1,1,variance,1,1,0.14542384185401094
1,1,variance,1,2,0.0993006832797948
1,1,variance,1,3,0.10608920939985073
1,1,variance,1,4,0.10013518972048352
1,1,variance,1,5,0.3047680992253319
1,1,variance,1,6,0.20105703797987914
1,1,variance,1,7,0.37070956412803147
1,1,variance,1,8,0.21519103450168317
1,1,variance,1,9,0.24620284126483777
1,1,variance,1,10,0.19802311739557613
1,1,variance,1,11,0.18084769526931646
1,1,variance,1,12,0.16192928676999527
1,2,skewness,1,1,8.087782061068058
1,2,skewness,1,2,8.085237954421187
1,2,skewness,1,3,8.911408949948207
1,2,skewness,1,4,8.35697360055068
1,2,skewness,1,5,19.95038753256907
1,2,skewness,1,6,15.41241682596202
1,2,skewness,1,7,25.565819843530765
1,2,skewness,1,8,12.42152406454353
1,2,skewness,1,9,15.572221721846654
1,2,skewness,1,10,8.7281163027369
1,2,skewness,1,11,8.016945872782804
1,2,skewness,1,12,7.297951792662051
1,3,probability_dry_0.2mm,1,1,0.8818164722154249
1,3,probability_dry_0.2mm,1,2,0.896506460585907
1,3,probability_dry_0.2mm,1,3,0.9005104178069474
1,3,probability_dry_0.2mm,1,4,0.9088521619631529
1,3,probability_dry_0.2mm,1,5,0.884870174561178
1,3,probability_dry_0.2mm,1,6,0.9131266426545324
1,3,probability_dry_0.2mm,1,7,0.9336602962334475
1,3,probability_dry_0.2mm,1,8,0.9211709476532859
1,3,probability_dry_0.2mm,1,9,0.9029601522949462
1,3,probability_dry_0.2mm,1,10,0.8943076139349844
1,3,probability_dry_0.2mm,1,11,0.8765779057930259
1,3,probability_dry_0.2mm,1,12,0.8827213928593232
1,4,mean,24,1,2.0627135628068496
1,4,mean,24,2,1.642280924383727
1,4,mean,24,3,1.5975428075996092
1,4,mean,24,4,1.5661295213122468
1,4,mean,24,5,1.9253600327395592
1,4,mean,24,6,1.6342588361032455
1,4,mean,24,7,1.5635939718365361
1,4,mean,24,8,1.8157692598149409
1,4,mean,24,9,1.8486041183870332
1,4,mean,24,10,2.2441786960686088
1,4,mean,24,11,2.3333598283961012
1,4,mean,24,12,2.28322353983767
1,5,variance,24,1,11.713736158627615
1,5,variance,24,2,8.727533074837462
1,5,variance,24,3,10.238361212044392
1,5,variance,24,4,10.278336867460666
1,5,variance,24,5,20.214439270667384
1,5,variance,24,6,12.936074054327971
1,5,variance,24,7,31.337883412422197
1,5,variance,24,8,14.99607637376846
1,5,variance,24,9,17.046471105472243
1,5,variance,24,10,20.406883900737064
1,5,variance,24,11,15.867992187311533
1,5,variance,24,12,14.939620405298115
1,6,skewness,24,1,2.9252236106346703
1,6,skewness,24,2,3.1086642190564593
1,6,skewness,24,3,3.8346108209155276
1,6,skewness,24,4,3.714945705732597
1,6,skewness,24,5,5.16308128112422
1,6,skewness,24,6,4.291760060756635
1,6,skewness,24,7,11.74229972915781
1,6,skewness,24,8,4.135178708744124
1,6,skewness,24,9,4.430242039161715
1,6,skewness,24,10,4.214898942945837
1,6,skewness,24,11,3.216435235363833
1,6,skewness,24,12,2.987676989677227
1,7,probability_dry_0.2mm,24,1,0.41400380009582216
1,7,probability_dry_0.2mm,24,2,0.48260960919736495
1,7,probability_dry_0.2mm,24,3,0.505669994724851
1,7,probability_dry_0.2mm,24,4,0.5467452203871435
1,7,probability_dry_0.2mm,24,5,0.5690040972086173
1,7,probability_dry_0.2mm,24,6,0.5843617688024888
1,7,probability_dry_0.2mm,24,7,0.5955498549272074
1,7,probability_dry_0.2mm,24,8,0.5535843921433227
1,7,probability_dry_0.2mm,24,9,0.571550945478314
1,7,probability_dry_0.2mm,24,10,0.45672288248058357
1,7,probability_dry_0.2mm,24,11,0.4016312738931217
1,7,probability_dry_0.2mm,24,12,0.4278003669972364
1,8,autocorrelation_lag1,24,1,0.20687405692043961
1,8,autocorrelation_lag1,24,2,0.22319655813821956
1,8,autocorrelation_lag1,24,3,0.18107014577011818
1,8,autocorrelation_lag1,24,4,0.19655480815698542
1,8,autocorrelation_lag1,24,5,0.16140512484876257
1,8,autocorrelation_lag1,24,6,0.10180003117924093
1,8,autocorrelation_lag1,24,7,0.09212864546769547
1,8,autocorrelation_lag1,24,8,0.10176932975961336
1,8,autocorrelation_lag1,24,9,0.17554102587367607
1,8,autocorrelation_lag1,24,10,0.1783950789903937
1,8,autocorrelation_lag1,24,11,0.158355301029716
1,8,autocorrelation_lag1,24,12,0.21890107737014564
